r_large_um,r_small_um,radius_ratio,collision_efficiency
8,6,0.75,0.037
10,7.5,0.75,0.037
15,11.25,0.75,0.052
20,15,0.75,0.067
25,18.75,0.75,0.25
30,22.5,0.75,0.51
40,30,0.75,0.77
50,37.5,0.75,0.88
60,45,0.75,0.93
70,52.5,0.75,0.97
100,75,0.75,1
150,112.5,0.75,1
200,150,0.75,1
300,225,0.75,1
6,4.8,0.8,0.037
8,6.4,0.8,0.037
10,8,0.8,0.037
15,12,0.8,0.047
20,16,0.8,0.057
25,20,0.8,0.25
30,24,0.8,0.49
40,32,0.8,0.77
50,40,0.8,0.89
60,48,0.8,0.95
70,56,0.8,1
100,80,0.8,1
150,120,0.8,1
200,160,0.8,1
300,240,0.8,1
6,5.1,0.85,0.036
8,6.8,0.85,0.036
10,8.5,0.85,0.036
15,12.75,0.85,0.042
20,17,0.85,0.048
25,21.25,0.85,0.23
30,25.5,0.85,0.47
40,34,0.85,0.78
50,42.5,0.85,0.92
60,51,0.85,1
70,59.5,0.85,1.02
100,85,0.85,1.02
150,127.5,0.85,1.02
200,170,0.85,1.02
300,255,0.85,1.02
6,5.4,0.9,0.04
8,7.2,0.9,0.04
10,9,0.9,0.035
15,13.5,0.9,0.033
20,18,0.9,0.04
25,22.5,0.9,0.112
30,27,0.9,0.45
40,36,0.9,0.79
50,45,0.9,1.01
60,54,0.9,1.03
70,63,0.9,1.04
100,90,0.9,1.04
150,135,0.9,1.04
200,180,0.9,1.04
300,270,0.9,1.04
6,5.7,0.95,0.033
8,7.6,0.95,0.033
10,9.5,0.95,0.033
15,14.25,0.95,0.033
20,19,0.95,0.033
25,23.75,0.95,0.119
30,28.5,0.95,0.47
40,38,0.95,0.95
50,47.5,0.95,1.3
60,57,0.95,1.7
70,66.5,0.95,2.3
100,95,0.95,2.3
150,142.5,0.95,2.3
200,190,0.95,2.3
300,285,0.95,2.3
6,6,1,0.027
8,8,1,0.027
10,10,1,0.027
15,15,1,0.027
20,20,1,0.027
25,25,1,0.125
30,30,1,0.52
40,40,1,1.4
50,50,1,2.3
60,60,1,3
70,70,1,4
100,100,1,4
150,150,1,4
200,200,1,4
300,300,1,4
