quantile,vx_px_per_frame
0,-20.750122
3.33333333333e-06,-9.31357612195
6.66666666667e-06,-8.91931412818
1e-05,-8.21208907229
1.33333333333e-05,-8.03937030285
1.66666666667e-05,-7.96881217595
2e-05,-6.99792891803
2.33333333333e-05,-6.47437721604
2.66666666667e-05,-6.01173105152
3e-05,-5.83927667342
3.33333333333e-05,-5.11287821392
3.66666666667e-05,-4.89928383119
4e-05,-4.83390204363
4.33333333333e-05,-4.76098915958
4.66666666667e-05,-4.48922418281
5e-05,-4.35432899446
5.33333333333e-05,-4.22363897015
5.66666666667e-05,-4.06476700286
6e-05,-4.00122331231
6.33333333333e-05,-3.65400649155
6.66666666667e-05,-3.65363472332
7e-05,-3.59800169458
7.33333333333e-05,-3.53479463524
7.66666666667e-05,-3.46419391278
8e-05,-3.43594625956
8.33333333333e-05,-3.38562419367
8.66666666667e-05,-3.37533092751
9e-05,-3.30954488548
9.33333333333e-05,-3.26276036641
9.66666666667e-05,-3.2197045549
0.0001,-3.20810066009
0.000103333333333,-3.11239349064
0.000106666666667,-3.00509244561
0.00011,-2.90166848377
0.000113333333333,-2.87899696844
0.000116666666667,-2.82011083484
0.00012,-2.81678147018
0.000123333333333,-2.68244949818
0.000126666666667,-2.68139884529
0.00013,-2.67380998666
0.000133333333333,-2.66666795227
0.000136666666667,-2.62222828841
0.00014,-2.56888025463
0.000143333333333,-2.53960241031
0.000146666666667,-2.53217569594
0.00015,-2.48570375739
0.000153333333333,-2.47849967515
0.000156666666667,-2.41753555237
0.00016,-2.39668697763
0.000163333333333,-2.38503711686
0.000166666666667,-2.32499990041
0.00017,-2.31727756132
0.000173333333333,-2.25069057923
0.000176666666667,-2.24953541636
0.00018,-2.24523888062
0.000183333333333,-2.23242327839
0.000186666666667,-2.18345014292
0.00019,-2.1797217068
0.000193333333333,-2.16413965583
0.000196666666667,-2.14689671262
0.0002,-2.11682701446
0.000203333333333,-2.11548102252
0.000206666666667,-2.07508185083
0.00021,-2.0708343904
0.000213333333333,-2.03006034299
0.000216666666667,-2.02978952109
0.00022,-2.00906291799
0.000223333333333,-1.97801682701
0.000226666666667,-1.96349289841
0.00023,-1.92303052202
0.000233333333333,-1.91510164833
0.000236666666667,-1.9135498669
0.00024,-1.90637472236
0.000243333333333,-1.89887975237
0.000246666666667,-1.85189998361
0.00025,-1.83632896226
0.000253333333333,-1.82816192566
0.000256666666667,-1.81250401936
0.00026,-1.80628240271
0.000263333333333,-1.80039605006
0.000266666666667,-1.8003367297
0.00027,-1.78663816389
0.000273333333333,-1.77976177191
0.000276666666667,-1.77212111398
0.00028,-1.76190760999
0.000283333333333,-1.73779354773
0.000286666666667,-1.73575768896
0.00029,-1.7225069508
0.000293333333333,-1.72161850956
0.000296666666667,-1.71658631468
0.0003,-1.70037350771
0.000303333333333,-1.69399164923
0.000306666666667,-1.68957863886
0.00031,-1.68666740234
0.000313333333333,-1.66903145595
0.000316666666667,-1.65824266578
0.00032,-1.65125352186
0.000323333333333,-1.65020565962
0.000326666666667,-1.64634551128
0.00033,-1.63367118349
0.000333333333333,-1.63281860432
0.000336666666667,-1.63025968313
0.00034,-1.61502650218
0.000343333333333,-1.61428596684
0.000346666666667,-1.59391870587
0.00035,-1.58763341244
0.000353333333333,-1.55325914909
0.000356666666667,-1.5500866276
0.00036,-1.54304096552
0.000363333333333,-1.54128713653
0.000366666666667,-1.53821594771
0.00037,-1.52201053352
0.000373333333333,-1.51209527227
0.000376666666667,-1.49873489006
0.00038,-1.49268683294
0.000383333333333,-1.48782475649
0.000386666666667,-1.48602755161
0.00039,-1.48475585303
0.000393333333333,-1.48337700665
0.000396666666667,-1.47851246587
0.0004,-1.47500140421
0.000403333333333,-1.47470893887
0.000406666666667,-1.47294246861
0.00041,-1.46033227915
0.000413333333333,-1.4565445641
0.000416666666667,-1.45478973083
0.00042,-1.45458162285
0.000423333333333,-1.45151965389
0.000426666666667,-1.4459274936
0.00043,-1.44036764074
0.000433333333333,-1.43392454218
0.000436666666667,-1.43301682389
0.00044,-1.43206084921
0.000443333333333,-1.43098993908
0.000446666666667,-1.42865582854
0.00045,-1.42683028568
0.000453333333333,-1.41667160698
0.000456666666667,-1.41664668785
0.00046,-1.41150136793
0.000463333333333,-1.40188017307
0.000466666666667,-1.40050928082
0.00047,-1.4004680191
0.000473333333333,-1.400365727
0.000476666666667,-1.39850824294
0.00048,-1.39789982747
0.000483333333333,-1.3962420872
0.000486666666667,-1.39234246978
0.00049,-1.39186202032
0.000493333333333,-1.38882282139
0.000496666666667,-1.38730261181
0.0005,-1.38690494855
0.000503333333333,-1.38539201179
0.000506666666667,-1.38277200633
0.00051,-1.37581458513
0.000513333333333,-1.36549158575
0.000516666666667,-1.35890911425
0.00052,-1.35275470019
0.000523333333333,-1.3504759058
0.000526666666667,-1.34460052394
0.00053,-1.34265071088
0.000533333333333,-1.33992598912
0.000536666666667,-1.33837340432
0.00054,-1.33631782445
0.000543333333333,-1.33594712949
0.000546666666667,-1.33047399351
0.00055,-1.32976467441
0.000553333333333,-1.32899353386
0.000556666666667,-1.32305716333
0.00056,-1.32214147551
0.000563333333333,-1.32189078387
0.000566666666667,-1.31819145454
0.00057,-1.31760451212
0.000573333333333,-1.310239225
0.000576666666667,-1.30808905963
0.00058,-1.30808660785
0.000583333333333,-1.3058724709
0.000586666666667,-1.3030478359
0.00059,-1.30000179725
0.000593333333333,-1.29665841242
0.000596666666667,-1.29473496858
0.0006,-1.28951281306
0.000603333333333,-1.28785332137
0.000606666666667,-1.28715196086
0.00061,-1.28706615925
0.000613333333333,-1.28526581914
0.000616666666667,-1.282366574
0.00062,-1.28125811513
0.000623333333333,-1.28055707968
0.000626666666667,-1.27585327072
0.00063,-1.27063728628
0.000633333333333,-1.26986834237
0.000636666666667,-1.26962147839
0.00064,-1.26566367737
0.000643333333333,-1.2643545554
0.000646666666667,-1.26227302495
0.00065,-1.25992302762
0.000653333333333,-1.25787405283
0.000656666666667,-1.25598102874
0.00066,-1.25542586583
0.000663333333333,-1.25539080874
0.000666666666667,-1.24717187579
0.00067,-1.24557927837
0.000673333333333,-1.24544733818
0.000676666666667,-1.24382973811
0.00068,-1.24203561295
0.000683333333333,-1.24068196051
0.000686666666667,-1.23565552465
0.00069,-1.23480715482
0.000693333333333,-1.23378071176
0.000696666666667,-1.23342742437
0.0007,-1.23266357061
0.000703333333333,-1.23098168338
0.000706666666667,-1.22726730442
0.00071,-1.22411966312
0.000713333333333,-1.22158009697
0.000716666666667,-1.22034566972
0.00072,-1.21833644705
0.000723333333333,-1.21602756311
0.000726666666667,-1.21570352014
0.00073,-1.21516910452
0.000733333333333,-1.21428664732
0.000736666666667,-1.21418717999
0.00074,-1.21417450933
0.000743333333333,-1.21100221696
0.000746666666667,-1.21063894825
0.00075,-1.20982204151
0.000753333333333,-1.2060705064
0.000756666666667,-1.20528666284
0.00076,-1.20224342132
0.000763333333333,-1.19518756689
0.000766666666667,-1.18974502882
0.00077,-1.18898783028
0.000773333333333,-1.18808587617
0.000776666666667,-1.187635992
0.00078,-1.18544021377
0.000783333333333,-1.18036472757
0.000786666666667,-1.17973245893
0.00079,-1.17950835536
0.000793333333333,-1.17950400331
0.000796666666667,-1.17914842636
0.0008,-1.17758125451
0.000803333333333,-1.1772936231
0.000806666666667,-1.17686959214
0.00081,-1.17495330317
0.000813333333333,-1.17440512352
0.000816666666667,-1.17331767416
0.00082,-1.17161475395
0.000823333333333,-1.17012940137
0.000826666666667,-1.16932059672
0.00083,-1.16906114354
0.000833333333333,-1.16764238311
0.000836666666667,-1.16761958952
0.00084,-1.16694185547
0.000843333333333,-1.16673924196
0.000846666666667,-1.1659275805
0.00085,-1.15812684996
0.000853333333333,-1.15696148962
0.000856666666667,-1.1562428653
0.00086,-1.15472837448
0.000863333333333,-1.15400091317
0.000866666666667,-1.153781083
0.00087,-1.15348197457
0.000873333333333,-1.15271934496
0.000876666666667,-1.15211017678
0.00088,-1.14954875557
0.000883333333333,-1.14900540696
0.000886666666667,-1.1486706538
0.00089,-1.14812091801
0.000893333333333,-1.14797006302
0.000896666666667,-1.14678995185
0.0009,-1.14572891912
0.000903333333333,-1.14314558486
0.000906666666667,-1.14310218013
0.00091,-1.14142452802
0.000913333333333,-1.14009735472
0.000916666666667,-1.13984694293
0.00092,-1.13871236599
0.000923333333333,-1.13832810416
0.000926666666667,-1.1364981256
0.00093,-1.1345359321
0.000933333333333,-1.13302316153
0.000936666666667,-1.13226164121
0.00094,-1.13181841635
0.000943333333333,-1.12933341743
0.000946666666667,-1.12718877996
0.00095,-1.12547480646
0.000953333333333,-1.12475811092
0.000956666666667,-1.12451680185
0.00096,-1.12328015239
0.000963333333333,-1.12289629756
0.000966666666667,-1.12108832047
0.00097,-1.12041672181
0.000973333333333,-1.12034770946
0.000976666666667,-1.11887162156
0.00098,-1.11750159253
0.000983333333333,-1.11709885937
0.000986666666667,-1.11695592649
0.00099,-1.11463612017
0.000993333333333,-1.11419361628
0.000996666666667,-1.11383931732
0.001,-1.11379636407
0.00124365234375,-1.04913709259
0.0014873046875,-0.998726207859
0.00173095703125,-0.964778539009
0.001974609375,-0.940419290036
0.00221826171875,-0.919220641032
0.0024619140625,-0.899650641858
0.00270556640625,-0.880975366897
0.00294921875,-0.866642008628
0.00319287109375,-0.852376313244
0.0034365234375,-0.840884944799
0.00368017578125,-0.832060287419
0.003923828125,-0.820807217327
0.00416748046875,-0.80727311692
0.0044111328125,-0.797881146369
0.00465478515625,-0.788148093813
0.0048984375,-0.77793643371
0.00514208984375,-0.769593063239
0.0053857421875,-0.7614825849
0.00562939453125,-0.753923400831
0.005873046875,-0.744992859547
0.00611669921875,-0.737255555325
0.0063603515625,-0.729716197687
0.00660400390625,-0.723222451412
0.00684765625,-0.716553220632
0.00709130859375,-0.711315949797
0.0073349609375,-0.706559646721
0.00757861328125,-0.701575846164
0.007822265625,-0.696776654376
