diameter_bin_low_um,diameter_bin_high_um,scene_count,scene_mean_number_density_bin_cm3,relative_probability
25.0,30.0,14,0.03452389076270427,0.003179814202487797
30.0,35.0,14,0.048857661205105304,0.0045000224936455465
35.0,40.0,14,0.03668583143385229,0.0033789391996760917
40.0,45.0,14,0.033254567222654366,0.0030629034797669662
45.0,50.0,14,0.031814291017277875,0.002930247205164542
50.0,55.0,14,0.029535125661334476,0.002720325258114583
55.0,60.0,14,0.030215273051240967,0.0027829700609577797
60.0,65.0,14,0.030905799710113712,0.002846570843736644
65.0,70.0,14,0.0318887775357416,0.0029371077670558073
70.0,75.0,14,0.03649350968535988,0.003361225453809299
75.0,80.0,14,0.04165689072345613,0.0038367973547472852
80.0,85.0,14,0.04785148266061168,0.004407348673999596
85.0,90.0,14,0.06103376479299146,0.005621499426412039
90.0,95.0,14,0.11469702752947379,0.010564140630271949
95.0,100.0,14,0.2914388827582992,0.026842904379512797
100.0,105.0,14,0.5105531877240191,0.047024371864948164
105.0,110.0,14,0.6714269723391373,0.06184161099489395
110.0,115.0,14,0.8205862255627511,0.07557988618215354
115.0,120.0,14,0.9524145417936488,0.08772189981330275
120.0,125.0,14,0.9860329939753554,0.09081831882493195
125.0,130.0,14,0.9622882793067259,0.0886313179026925
130.0,135.0,14,0.8420059839829391,0.07755274759880335
135.0,140.0,14,0.7336305417991494,0.0675708549834672
140.0,145.0,14,0.6503124865356039,0.05989686663517558
145.0,150.0,14,0.528114910814926,0.048641889916098704
150.0,155.0,14,0.448943678776017,0.041349843669163465
155.0,160.0,14,0.35217958583930226,0.03243741143127068
160.0,165.0,14,0.2939561607552332,0.027074757630969257
165.0,170.0,14,0.2389826679480692,0.022011438018759703
170.0,175.0,14,0.19643254954828165,0.01809237015543109
175.0,180.0,14,0.15240002732201927,0.014036765863643521
180.0,185.0,14,0.1255616799562117,0.011564826686461076
185.0,190.0,14,0.10001585684931981,0.009211935128326248
190.0,195.0,14,0.07886779105795437,0.007264097892345414
195.0,200.0,14,0.06033896431748557,0.005557505004836136
200.0,205.0,14,0.04973867797677053,0.004581168319949615
205.0,210.0,14,0.04018364507548093,0.0037011044379962666
210.0,215.0,14,0.03162868526635186,0.00291315203455024
215.0,220.0,14,0.02449568530560001,0.0022561688822907533
220.0,225.0,14,0.019767623018853257,0.0018206919045369685
225.0,230.0,14,0.015987737479435753,0.0014725465056121647
230.0,235.0,14,0.013709182668725672,0.0012626807926760693
235.0,240.0,14,0.011668129953772883,0.001074690150032616
240.0,245.0,14,0.009700953212050513,0.0008935038351665657
245.0,250.0,14,0.007343638066243538,0.0006763839215421645
250.0,255.0,14,0.006115221056825346,0.0005632408844501429
255.0,260.0,14,0.004604121604384977,0.00042406145263962933
260.0,265.0,14,0.004115074872504276,0.0003790179274354995
265.0,270.0,14,0.0031766668489079755,0.0002925860944283241
270.0,275.0,14,0.0025618477989655703,0.00023595834176845043
275.0,280.0,14,0.0019616818346225875,0.00018068020784128486
280.0,285.0,14,0.0018224775214280811,0.00016785882988055878
285.0,290.0,14,0.0011746890288869775,0.00010819443507209215
290.0,295.0,14,0.0008834589525984701,8.137076275952045e-05
295.0,300.0,14,0.00066671539477369,6.140765233821447e-05
